MATCHUP,GAME_ID,SEASON,GAME_DATE,HOME_TEAM_NICKNAME,HOME_TEAM_ID,AWAY_TEAM_NICKNAME,AWAY_TEAM_ID
01/30/2018 Cavaliers at Pistons,21700747,2017-18,2018-01-30, Pistons,1610612765, Cavaliers,1610612739
01/28/2018 Pistons at Cavaliers,21700734,2017-18,2018-01-28, Cavaliers,1610612739, Pistons,1610612765
01/26/2018 Pacers at Cavaliers,21700715,2017-18,2018-01-26, Cavaliers,1610612739, Pacers,1610612754
01/23/2018 Cavaliers at Spurs,21700698,2017-18,2018-01-23, Spurs,1610612759, Cavaliers,1610612739
01/20/2018 Thunder at Cavaliers,21700674,2017-18,2018-01-20, Cavaliers,1610612739, Thunder,1610612760
01/18/2018 Magic at Cavaliers,21700664,2017-18,2018-01-18, Cavaliers,1610612739, Magic,1610612753
01/15/2018 Warriors at Cavaliers,21700646,2017-18,2018-01-15, Cavaliers,1610612739, Warriors,1610612744
01/12/2018 Cavaliers at Pacers,21700619,2017-18,2018-01-12, Pacers,1610612754, Cavaliers,1610612739
01/11/2018 Cavaliers at Raptors,21700615,2017-18,2018-01-11, Raptors,1610612761, Cavaliers,1610612739
01/08/2018 Cavaliers at Timberwolves,21700594,2017-18,2018-01-08, Timberwolves,1610612750, Cavaliers,1610612739
01/06/2018 Cavaliers at Magic,21700582,2017-18,2018-01-06, Magic,1610612753, Cavaliers,1610612739
01/02/2018 Trail Blazers at Cavaliers,21700549,2017-18,2018-01-02, Cavaliers,1610612739, Trail Blazers,1610612757
12/30/2017 Cavaliers at Jazz,21700534,2017-18,2017-12-30, Jazz,1610612762, Cavaliers,1610612739
12/27/2017 Cavaliers at Kings,21700513,2017-18,2017-12-27, Kings,1610612758, Cavaliers,1610612739
12/25/2017 Cavaliers at Warriors,21700494,2017-18,2017-12-25, Warriors,1610612744, Cavaliers,1610612739
12/21/2017 Bulls at Cavaliers,21700466,2017-18,2017-12-21, Cavaliers,1610612739, Bulls,1610612741
12/19/2017 Cavaliers at Bucks,21700453,2017-18,2017-12-19, Bucks,1610612749, Cavaliers,1610612739
12/17/2017 Cavaliers at Wizards,21700440,2017-18,2017-12-17, Wizards,1610612764, Cavaliers,1610612739
12/16/2017 Jazz at Cavaliers,21700430,2017-18,2017-12-16, Cavaliers,1610612739, Jazz,1610612762
12/14/2017 Lakers at Cavaliers,21700415,2017-18,2017-12-14, Cavaliers,1610612739, Lakers,1610612747
